5.4,29.59,1.2,0,00:13:ce:8f:77:43,-61.73,00:13:ce:97:78:79,-77.1,00:13:ce:8f:78:d9,-27.4,00:13:ce:95:de:7e,-74.16,00:13:ce:95:e1:6f,-56.42
4.2,29.59,1.2,0,00:13:ce:95:e1:6f,-52.49,00:13:ce:8f:78:d9,-26.32,00:13:ce:8f:77:43,-65.24,00:13:ce:97:78:79,-79.66,00:13:ce:95:de:7e,-74.36
3.0,29.59,1.2,0,00:13:ce:97:78:79,-75.78,00:13:ce:95:de:7e,-72.92,00:13:ce:8f:77:43,-61.63,00:13:ce:95:e1:6f,-54.06,00:13:ce:8f:78:d9,-27.83
1.8,29.59,1.2,0,00:13:ce:95:e1:6f,-52.31,00:13:ce:95:de:7e,-72.67,00:13:ce:8f:77:43,-61.08,00:13:ce:97:78:79,-82.3,00:13:ce:8f:78:d9,-30.61
5.4,30.59,1.2,0,00:13:ce:95:e1:6f,-55.99,00:13:ce:8f:78:d9,-33.9,00:13:ce:8f:77:43,-67.96,00:13:ce:95:de:7e,-73.13,00:13:ce:97:78:79,-84.0
4.2,30.59,1.2,0,00:13:ce:95:e1:6f,-52.95,00:13:ce:8f:78:d9,-28.13,00:13:ce:8f:77:43,-65.64,00:13:ce:95:de:7e,-71.02,00:13:ce:97:78:79,-75.57
3.0,30.59,1.2,0,00:13:ce:97:78:79,-77.97,00:13:ce:8f:77:43,-63.77,00:13:ce:8f:78:d9,-29.31,00:13:ce:95:e1:6f,-51.42,00:13:ce:95:de:7e,-69.32
1.8,30.59,1.2,0,00:13:ce:95:e1:6f,-52.8,00:13:ce:8f:78:d9,-30.85,00:13:ce:97:78:79,-79.65,00:13:ce:8f:77:43,-62.48,00:13:ce:95:de:7e,-70.59
5.4,31.59,1.2,0,00:13:ce:95:e1:6f,-56.43,00:13:ce:8f:77:43,-63.34,00:13:ce:8f:78:d9,-31.4,00:13:ce:95:de:7e,-72.52,00:13:ce:97:78:79,-75.9
4.2,31.59,1.2,0,00:13:ce:8f:78:d9,-34.9,00:13:ce:95:e1:6f,-57.49,00:13:ce:8f:77:43,-65.18,00:13:ce:97:78:79,-77.47,00:13:ce:95:de:7e,-72.24
